material,harga,tingkat_kekritisan,rutin_nonrutin,2019,ROQ
CABLE PWR;NYAF;1X4mm2;0.6/1kV;OH,380000,C,NON RUTIN,0,0
INVERTER;;380/500V;3P;0.75KW,3153700.0000000005,C,NON RUTIN,0,0
INVERTER;;380/480VAC;6P;15KW,47000000,C,NON RUTIN,0,0
INVERTER;;380/480VAC;6P;5.5KW,22000000,C,NON RUTIN,0,0
INVERTER;480VAC;460VAC;3P;2.2K,34500000,B,NON RUTIN,1,6.080555555555556
INVERTER;380V;480V;5KW;3P;7.5H,37910000,C,NON RUTIN,0,0
INVERTER;380V;480V;18.5KW;3P;2,51410000,C,NON RUTIN,0,0
INVERTER;380V;480V;3.7KW;3P;10,31440000,B,NON RUTIN,0,0
CABLE CTRL;NYAF;1x0.75mm2;0.6/1kV;OH,96850,C,NON RUTIN,0,0
UNIV ACC;HEADLAMP,188000,C,NON RUTIN,0,0
UNIV ACC;SILICON,51000,C,NON RUTIN,0,0
"UNIV ACC;SOCK PVC 2.5""",30000,C,NON RUTIN,0,0
UNIV ACC;VECOM ECS,239795,C,NON RUTIN,0,0
UNIV ACC;MATA GERGAJI BESI,29500,C,NON RUTIN,0,0
"UNIV ACC;KUAS 3""",16000,C,NON RUTIN,0,0
HARDWARE;WORKSTATION,45000000,C,NON RUTIN,0,0
TOOL M;JIG SAW,2824360,C,NON RUTIN,0,0
TOOL M;SLING STEEL 10mm,91850.00000000001,C,NON RUTIN,0,0
TOOL M;BOR DUDUK,7700000,C,NON RUTIN,0,0
TOOL L;HYDRANAL COULOMAT A 500ML,3412000,C,NON RUTIN,1,0.7944444444444444
LUBE;S;SHELL OMALA 220,39050,C,RUTIN,627,355.3
LUBE;T;SHELL TURBO T 68,29665,C,NON RUTIN,0,0
GREASE;N;SHELL ALVANIA EP 2,60000,NA,RUTIN,0,NA
GREASE;S;OMEGA 57,619000,C,RUTIN,30,8.5
GREASE;S;OMEGA 65,963000,C,RUTIN,30,8.5
GREASE;S;OMEGA 85,964260.0000000001,B,RUTIN,15,4.25
GREASE;S;SHELL ALVANIA RL 2,2035000,B,NON RUTIN,0,0
GREASE;S;SHELL ALVANIA RL 3,2035000,B,NON RUTIN,0,0
LUBE;N;MOBIL DTE 25,272700,B,NON RUTIN,0,0
LUBE;N;MOBIL DTE LIGHT,33100,C,NON RUTIN,0,0
LUBE;N;MOBIL GEAR 600 XP 220,46000,B,NON RUTIN,0,0
LUBE;N;NYNAS,50371,B,RUTIN,808,228.9333333333333
LUBE;N;SHELL CORENA S 46,56950,C,RUTIN,627,177.65
LUBE;N;SHELL RIMULA D 30,38100,C,RUTIN,209,59.21666666666667
LUBE;N;SHELL RIMULA X D 10W,31600,C,RUTIN,418,473.73333333333335
LUBE;N;TOTAL PRESLIA 32,NA,NA,NON RUTIN,0,NA
LUBE;S;MOBIL SHC 624,266000,B,NON RUTIN,0,0
LUBE;S;MOBIL SHC 626,269000,B,RUTIN,0,0
LUBE;S;MOBIL SHC 627,298450,B,NON RUTIN,0,0
LUBE;S;OMEGA 690 SAE 140,585000,C,RUTIN,340,96.33333333333333
LUBE;S;ROTO Z,429500,B,RUTIN,0,0
LUBE;S;SHELL RIMULA 15W-40,34600,C,RUTIN,0,0
LUBE;S;SHELL SPIRAX S2 A 140,41150,C,NON RUTIN,209,59.21666666666667
LUBE;T;CASTROL PERFECTO T 32,49400,B,NON RUTIN,100,58.93333333333333
LUBE;T;CASTROL PERFECTO T 68,55000,c,NON RUTIN,0,0
LUBE;T;SHELL TELLUS T 46,39400,B,RUTIN,104,118.43333333333334
LUBE;T;SHELL TURBO T 32,31000,B,RUTIN,418,710.6
LUBE;T;SHELL TURBO T 46,31000,C,NON RUTIN,0,0
LUBE;S;SHELL OMALA S2 G 220,NA,NA,NON RUTIN,0,NA
LUBE;S;SHELL SPIRAX S2 G 90,35400,C,NON RUTIN,209,59.21666666666667
LUBE;S;ESSO UNIVIS HVI 13,5940000.000000001,C,NON RUTIN,0,0
LUBE;S;SHELL RIMULA R2 50,NA,NA,NON RUTIN,0,NA
LUBE;S;OMEGA 612 SAE 20,430000,C,NON RUTIN,40,45.333333333333336
LUBE;N;SHELL MORLINA S2 B 150,39146,C,NON RUTIN,0,0
LUBE;N;FAIRVAC WHITE 68,159000,C,NON RUTIN,0,0
GREASE;N;SHELL GADUS S2 V220 2,61800,C,NON RUTIN,90,25.5
LUBE;S;PRIMO CIRCLE CL 22,4415000,C,NON RUTIN,1,0.27499999999999997
LUBE;N;SHELL RIMULA R2 50W,36600,C,NON RUTIN,0,0
SILENCER;NOR;63000604D3;1827000000,80000,C,NON RUTIN,0,0
SILENCER;NOR;63000604D3;1827000001,90000,C,NON RUTIN,0,0
SILENCER;NOR;63000604D3;1827000002,192000,C,NON RUTIN,0,0
TIMER;SMN;ODTR;3RP15251B030,3200000,C,NON RUTIN,0,0
UNIV ACC;BAN MOBIL 825X15,NA,NA,NON RUTIN,0,NA
UNIV ACC;BAN MOBIL DALAM 1000X20,540000,C,NON RUTIN,0,0
UNIV ACC;BAN MOBIL DALAM 1100X20,786000,C,NON RUTIN,0,0
UNIV ACC;BAN MOBIL DALAM 1200X20,880000,C,RUTIN,12,3.4
UNIV ACC;BAN MOBIL DALAM 700X12,340000,C,NON RUTIN,0,0
UNIV ACC;BAN MOBIL DALAM 825X12,4000000,C,NON RUTIN,0,0
UNIV ACC;BAN MOBIL DALAM 900X20,450000,C,NON RUTIN,0,0
UNIV ACC;BAN MOBIL LUAR 1000X20,3935000,C,NON RUTIN,0,0
UNIV ACC;BAN MOBIL LUAR 1100X20,7680000,C,NON RUTIN,0,0
UNIV ACC;BAN MOBIL LUAR 1200X20,9350000,C,NON RUTIN,12,3.4
UNIV ACC;BAN MOBIL LUAR 650X12,1280000,C,NON RUTIN,0,0
UNIV ACC;BAN MOBIL LUAR 700X12,1510000,C,NON RUTIN,2,0.5666666666666667
UNIV ACC;BAN MOBIL LUAR 700X16,1355000,C,NON RUTIN,10,2.8333333333333335
UNIV ACC;BAN MOBIL LUAR 825X15,2750000,C,RUTIN,4,1.1333333333333333
UNIV ACC;BAN MOBIL LUAR 900X20,2880000,C,NON RUTIN,0,0
UNIV ACC;BAN MOBIL LUAR 650X10,2200000,C,RUTIN,2,0.5666666666666667
UNIV ACC;BAN MOBIL DALAM 700X16,200000,C,NON RUTIN,10,2.8333333333333335
UNIV ACC;BAN MOBIL DALAM 650X10,168000,C,NON RUTIN,2,0.5666666666666667
UNIV ACC;BAN MOBIL LUAR 250X15,1440000,C,NON RUTIN,0,0
UNIV ACC;BAN LUAR 16.9-28R,12500000,C,NON RUTIN,4,1.1333333333333333
UNIV ACC;BAN MOBIL DALAM 825X15,242000,C,NON RUTIN,4,1.1333333333333333
UNIV ACC;BAN MOBIL DALAM 250X15,681000,C,NON RUTIN,0,0
UNIV ACC;MARSET 1000,460000,C,NON RUTIN,0,0
UNIV ACC;MARSET 1100,455000,C,NON RUTIN,0,0
UNIV ACC;MARSET 1200,300000,C,NON RUTIN,12,3.4
UNIV ACC;MARSET 900,227000,C,NON RUTIN,0,0
UNIV ACC;MARSET 650,110000,C,NON RUTIN,2,0.4722222222222222
UNIV ACC;MARSET 700,67000,C,NON RUTIN,10,2.8333333333333335
UNIV ACC;MARSET 825,67000,C,NON RUTIN,0,0
CLUTCH;FMC;TA700;1102263,59000000,B,NON RUTIN,0,0
SOLENOID;MAC;1361G681D15;FE139,65000000,B,NON RUTIN,1,1.525
LENS;NSN;CGB;26090Z9707,979000.0000000001,C,NON RUTIN,0,0
LENS;NSN;CGB;26090Z9112,88000,C,NON RUTIN,0,0
LENS;NSN;CGB;26090Z9113,138050,C,NON RUTIN,0,0
DFTR;DMW;10VPFCM;B881,1808000,C,NON RUTIN,0,0
BEAR;ARP;GSG75;C21406122SK,1150000,C,NON RUTIN,0,0
BEAR;ARP;GSG75;C21471156SK,1300000,C,NON RUTIN,0,0
BEAR;ARP;GSG75;C21471160SK,2050000,C,NON RUTIN,0,0
